ID_CLIENT,ID_SKU,Quantity,dat_event,Valor_Unitario,Categoria,Valor_Total_Produto
5034,66,1,2024-01-01,75,Utensilios,75
7860,49,1,2024-01-01,266,Utensilios,266
4196,54,1,2024-01-01,211,Limpeza,211
9536,79,1,2024-01-01,163,Limpeza,163
3568,53,1,2024-01-01,187,Bebidas,187
9643,55,1,2024-01-01,58,Bebidas,58
2202,72,1,2024-01-01,159,Utensilios,159
6846,50,1,2024-01-01,163,Carnes,163
6846,28,1,2024-01-01,99,Carnes,99
6657,38,1,2024-01-01,246,Bebidas,246
7612,42,1,2024-01-01,136,Bebidas,136
9245,7,1,2024-01-01,288,Carnes,288
7701,62,1,2024-01-01,246,Bebidas,246
7498,6,1,2024-01-01,273,Carnes,273
848,0,1,2024-01-01,263,Carnes,263
4645,13,1,2024-01-01,91,Bebidas,91
2094,5,1,2024-01-01,76,Utensilios,76
2094,38,1,2024-01-01,246,Bebidas,246
6251,96,1,2024-01-01,128,Carnes,128
5831,65,1,2024-01-01,198,Carnes,198
8104,58,1,2024-01-01,45,Limpeza,45
2042,73,1,2024-01-01,246,Utensilios,246
6668,48,1,2024-01-01,287,Carnes,287
6668,62,1,2024-01-01,246,Bebidas,246
6843,28,1,2024-01-01,99,Carnes,99
6843,20,1,2024-01-01,286,Limpeza,286
9718,32,1,2024-01-01,299,Limpeza,299
5750,70,1,2024-01-01,187,Utensilios,187
5750,54,1,2024-01-01,211,Limpeza,211
4862,62,1,2024-01-01,246,Bebidas,246
6080,77,1,2024-01-01,132,Carnes,132
5352,38,1,2024-01-01,246,Bebidas,246
6239,37,1,2024-01-01,66,Utensilios,66
7877,9,1,2024-01-01,250,Bebidas,250
9631,65,1,2024-01-01,198,Carnes,198
9452,71,1,2024-01-01,245,Carnes,245
9452,6,1,2024-01-01,273,Carnes,273
3268,24,1,2024-01-01,150,Bebidas,150
3221,89,1,2024-01-02,271,Carnes,271
9293,88,1,2024-01-02,198,Bebidas,198
9661,21,1,2024-01-02,267,Carnes,267
9774,29,1,2024-01-02,111,Bebidas,111
1872,98,1,2024-01-02,61,Utensilios,61
5913,82,1,2024-01-02,91,Utensilios,91
7795,6,1,2024-01-02,273,Carnes,273
7795,28,1,2024-01-02,99,Carnes,99
3958,17,1,2024-01-02,199,Bebidas,199
